smiles,ccdid,description,sm_check,rd_smiles,res_smiles
CCCCCCCCCC(=O)NC(CCO)C(=O)O,1K4,n-decanoyl-l-homoserine,True,CCCCCCCCCC(=O)NC(CCO)C(=O)O,CCCCCCCCCC(=O)NC(C=O)CCO
CC(C(P(=O)(O)O)SCC(C(=O)O)N)O,1KM,"(2r)-2-azanyl-3-[(1r,2s)-2-oxidanyl-1-phosphono-propyl]sulfanyl-propanoic acid",True,CC(O)C(SCC(N)C(=O)O)P(=O)(O)O,CC(O)C(SCC(N)C=O)P(=O)(O)O
c1cc(cnc1)CC(C(=O)O)N,1MH,3-pyridin-3-yl-l-alanine,True,NC(Cc1cccnc1)C(=O)O,NC(C=O)Cc1cccnc1
CCCc1cnn(c1C(C(=O)O)N)O,1N4,(2r)-amino(1-hydroxy-4-propyl-1h-pyrazol-5-yl)ethanoic acid,True,CCCc1cnn(O)c1C(N)C(=O)O,CCCc1cnn(O)c1C(N)C=O
c1cc(ccc1CC(C(=O)O)N)OCCCCCO,1OP,o-(5-hydroxypentyl)-l-tyrosine,True,NC(Cc1ccc(OCCCCCO)cc1)C(=O)O,NC(C=O)Cc1ccc(OCCCCCO)cc1
c1cc(ccc1CC(C(=O)O)N)CC(=O)O,1PA,4-(carboxymethyl)-l-phenylalanine,True,NC(Cc1ccc(CC(=O)O)cc1)C(=O)O,NC(C=O)Cc1ccc(CC(=O)O)cc1
C1CC(CN(C1)C(=N)N)CC(C=O)N,1PI,(3r)-3-[(2s)-2-amino-3-oxopropyl]piperidine-1-carboximidamide,True,N=C(N)N1CCCC(CC(N)C=O)C1,N=C(N)N1CCCC(CC(N)C=O)C1
c1cc(c(c2c1c(c[nH]2)CC(C(=O)O)N)O)NC=O,1TQ,6-(formylamino)-7-hydroxy-l-tryptophan,True,NC(Cc1c[nH]c2c(O)c(NC=O)ccc12)C(=O)O,NC(C=O)Cc1c[nH]c2c(O)c(NC=O)ccc12
COC(=O)CCCCC(C(=O)O)N,1TX,(2s)-2-amino-7-methoxy-7-oxoheptanoic acid,True,COC(=O)CCCCC(N)C(=O)O,COC(=O)CCCCC(N)C=O
c1ccc(cc1)CCN=C2C=C(C(=O)C=C2O)CC(C(=O)O)N,1TY,"3-{(3e)-4-hydroxy-6-oxo-3-[(2-phenylethyl)imino]cyclohexa-1,4-dien-1-yl}alanine",True,NC(CC1=CC(=NCCc2ccccc2)C(O)=CC1=O)C(=O)O,NC(C=O)CC1=CC(=NCCc2ccccc2)C(O)=CC1=O
